server_id,timestamp,cpu_usage,memory_usage,disk_usage,status
WEB-02,2024-01-01 15:00:00,33.9,72.6,53.7,healthy
DB-01,2024-01-01 15:00:00,48.2,86.4,79.8,healthy
DB-02,2024-01-01 15:00:00,41.8,83.2,68.2,healthy
APP-01,2024-01-01 15:00:00,29.5,65.6,42.1,healthy
APP-02,2024-01-01 15:00:00,34.7,73.4,48.9,healthy
WEB-01,2024-01-01 16:00:00,26.9,68.8,45.3,healthy
WEB-02,2024-01-01 16:00:00,32.2,71.3,52.4,healthy
DB-01,2024-01-01 16:00:00,45.4,83.1,77.4,healthy
DB-02,2024-01-01 16:00:00,38.6,78.9,64.8,healthy
APP-01,2024-01-01 16:00:00,31.1,67.2,43.7,healthy
APP-02,2024-01-01 16:00:00,96.7,91.8,51.2,critical
WEB-01,2024-01-01 17:00:00,25.8,69.2,44.6,healthy
WEB-02,2024-01-01 17:00:00,34.4,74.1,54.1,healthy
DB-01,2024-01-01 17:00:00,47.9,85.7,79.1,healthy
DB-02,2024-01-01 17:00:00,40.1,81.4,66.7,healthy
APP-01,2024-01-01 17:00:00,28.7,64.3,41.8,healthy
APP-02,2024-01-01 17:00:00,35.3,74.9,49.7,healthy
WEB-01,2024-01-01 18:00:00,27.4,68.1,45.9,healthy
WEB-02,2024-01-01 18:00:00,31.6,70.7,51.3,healthy
DB-01,2024-01-01 18:00:00,44.8,82.5,78.3,healthy
DB-02,2024-01-01 18:00:00,39.9,80.1,65.5,healthy
APP-01,2024-01-01 18:00:00,30.8,66.5,42.4,healthy
APP-02,2024-01-01 18:00:00,36.9,76.4,50.8,healthy
WEB-01,2024-01-01 19:00:00,24.5,67.4,44.1,healthy
WEB-02,2024-01-01 19:00:00,33.7,73.2,53.6,healthy
DB-01,2024-01-01 19:00:00,48.6,86.8,80.7,warning
DB-02,2024-01-01 19:00:00,41.4,82.9,67.9,healthy
APP-01,2024-01-01 19:00:00,29.2,65.8,41.2,healthy
APP-02,2024-01-01 19:00:00,34.1,72.7,48.4,healthy
WEB-01,2024-01-01 20:00:00,26.7,69.6,45.7,healthy
WEB-02,2024-01-01 20:00:00,32.9,71.8,52.8,healthy
DB-01,2024-01-01 20:00:00,46.2,84.3,78.9,healthy
DB-02,2024-01-01 20:00:00,38.3,79.6,64.2,healthy
APP-01,2024-01-01 20:00:00,31.9,68.1,43.8,healthy
APP-02,2024-01-01 20:00:00,37.6,77.2,51.5,healthy
,2024-01-01 21:00:00,25.2,68.9,44.8,healthy
WEB-02,2024-01-01 21:00:00,,72.4,53.2,healthy
DB-01,,47.1,85.6,79.4,healthy
DB-02,2024-01-01 21:00:00,40.7,invalid,66.8,healthy
APP-01,2024-01-01 21:00:00,28.4,-15.2,41.5,error
APP-02,2024-01-01 21:00:00,35.7,74.8,150.3,warning
