transaction_id,employee_id,amount,date,region,product
T269,1075,20800,2024-06-24,North,Software
T270,1080,13200,2024-06-27,South,Hardware
T271,1085,16500,2024-06-29,East,Consulting
T272,1090,9500,2024-04-04,West,Support
T273,1002,15800,2024-04-07,North,Software
T274,1007,11200,2024-04-12,South,Hardware
T275,1012,14500,2024-04-16,East,Consulting
T276,1016,8500,2024-04-18,West,Support
T277,1021,18500,2024-04-23,North,Software
T278,1026,12200,2024-04-26,South,Hardware
T279,1031,15800,2024-04-28,East,Consulting
T280,1036,9200,2024-05-03,West,Support
T281,1041,17500,2024-05-06,North,Software
T282,1046,13800,2024-05-13,South,Hardware
T283,1056,16200,2024-05-16,East,Consulting
T284,1060,9800,2024-05-23,West,Support
T285,1065,19800,2024-05-26,North,Software
T286,1070,14200,2024-06-03,South,Hardware
T287,1075,17800,2024-06-06,East,Consulting
T288,1080,10500,2024-06-13,West,Support
T289,1085,21500,2024-06-16,North,Software
T290,1090,15200,2024-06-23,South,Hardware
T291,1002,18200,2024-06-26,East,Consulting
T292,1007,11800,2024-04-01,West,Support
T293,1012,16800,2024-04-13,North,Software
T294,1016,10200,2024-04-22,South,Hardware
T295,1021,14800,2024-05-08,East,Consulting
T296,1026,8800,2024-05-15,West,Support
T297,1031,19200,2024-05-31,North,Software
T298,1036,13500,2024-06-04,South,Hardware
T299,1041,17200,2024-06-18,East,Consulting
T300,1046,10800,2024-06-28,West,Support
T301,1056,15500,2024-04-08,North,Software
T302,1060,9200,2024-04-19,South,Hardware
T303,1065,18800,2024-05-02,East,Consulting
T304,1070,12200,2024-05-20,West,Support
T305,1075,16500,2024-06-07,North,Software
T306,1080,9500,2024-06-25,South,Hardware
T307,1085,20200,2024-04-15,East,Consulting
T308,1090,14800,2024-05-12,West,Support
T309,1002,17500,2024-05-29,North,Software
T310,1007,11500,2024-06-15,South,Hardware
T311,1012,15200,2024-04-25,East,Consulting
T312,1016,8500,2024-05-18,West,Support
T313,1021,19500,2024-06-08,North,Software
T314,1026,13200,2024-04-30,South,Hardware
T315,1031,16800,2024-05-25,East,Consulting
T316,1036,10200,2024-06-12,West,Support
T317,1041,18200,2024-04-17,North,Software
T318,1046,12800,2024-05-07,South,Hardware
T319,1056,15800,2024-05-24,East,Consulting
T320,1060,9800,2024-06-10,West,Support
T321,1065,20500,2024-04-29,North,Software
T322,1070,14500,2024-05-16,South,Hardware
T323,1075,17800,2024-06-02,East,Consulting
T324,1080,11200,2024-06-19,West,Support
T325,1085,19200,2024-04-11,North,Software
T326,1090,13800,2024-05-28,South,Hardware
T327,1002,16500,2024-06-14,East,Consulting
T328,1007,10500,2024-04-24,West,Support
T329,1012,18500,2024-05-11,North,Software
T330,1016,12500,2024-05-28,South,Hardware
T331,1021,15800,2024-06-16,East,Consulting
T332,1026,9200,2024-04-06,West,Support
T333,1031,17200,2024-04-27,North,Software
T334,1036,11800,2024-05-14,South,Hardware
T335,1041,14500,2024-06-01,East,Consulting
T336,1046,8800,2024-06-18,West,Support
T337,1056,19800,2024-04-20,North,Software
T338,1060,13200,2024-05-09,South,Hardware
T339,1065,16800,2024-05-26,East,Consulting
T340,1070,10800,2024-06-13,West,Support
T341,1075,18800,2024-04-14,North,Software
T342,1080,12200,2024-05-01,South,Hardware
T343,1085,15500,2024-05-18,East,Consulting
T344,1090,9500,2024-06-05,West,Support
T345,1002,17800,2024-06-22,North,Software
T001,1002,15000,2024-01-05,North,Software
T147,1007,,2024-05-20,South,Hardware
T348,9999,-3500,2024-04-15,East,Consulting
T349,,14000,2024-05-25,West,Support
T350,1016,20000,2024-06-31,North,Software
